,,,,,Загальна інформація,,,,Надходження до місцевих бюджетів (загальний фонд),,,,,,,Частка місцевих податків в дохідній частині бюджету загального фонду ,,,,,,ПДФО та індекс податковспроможності,,,,,,,Акциз,,,,,,Плата за землю,,,,,,Єдиний податок,,,,,,Частка витрати на оплату праці загальнодержавних функцій,,,,,
Київська область,Білоцерківський район,Білоцерківська,міська територіальна громада,UA32020010000093088,,219.589,218.981,394.4,1610144.002,1403755.799,-12.8%,320270.6086,329691.4255,більше 100,2.9%,23.83200597,27.33780619,27.35,27.86,20-40,1.9%,0.977737546,0,0,3051.324897,0.951087341,0,0,470.0802181,533.4673724,111.9,91.1,50-100,-18.6%,526.1340557,351.4594943,31.61,35.58,25-50,12.5%,940.2994878,1112.253645,269.0,304.64,200-500,13.2%,8.70,8.58,9.8%,9.2%,менше 10,-6.4%
Запорізька область,Василівський район,Енергодарська,міська територіальна громада,UA23040110000019947,,53.343,52.887,63.4,810268.7496,946127.7785,16.8%,245723.4399,286271.1517,більше 100,16.5%,16.3974245,16.04958784,14.87,7.95,менше 10,-46.5%,3.06622596,166616.3,0,9569.082882,3.561033514,224370.3,0,410.9388587,461.2513382,106.6,78.0,50-100,-26.9%,1975.183352,2234.163459,530.63,208.98,більше 200,-60.6%,450.8439084,573.1649591,127.2,202.80,200-500,59.4%,15.47,9.87,9.8%,9.3%,менше 10,-4.9%
Волинська область,Володимир-Волинський район,Володимир-Волинська,міська територіальна громада,UA07020010000096841,,42.565,42.227,104.2,335181.3666,297655.3752,-11.2%,75092.52974,92951.93467,50-100,23.8%,13.22103334,16.97326652,15.15,13.07,10-20,-13.7%,1.321207425,14719.5,0,4123.226247,1.362128588,18811.1,0,313.066736,333.3679894,70.1,66.9,50-100,-4.6%,398.1433693,472.3784568,55.71,57.85,50-100,3.8%,533.2989232,646.4459905,160.6,179.87,100-200,12.0%,13.32,13.64,13.5%,9.5%,менше 10,-29.3%
Кіровоградська область,Кропивницький район,Кропивницька,міська територіальна громада,UA35040210000014072,,233.82,231.162,105,2086375.305,1863719.455,-10.7%,410525.0264,490071.674,більше 100,19.4%,17.70134381,22.39174116,23.33,21.17,20-40,-9.3%,1.342794467,89392,0,4190.595121,1.346819701,97644.4,0,612.1054423,700.1690802,150.9,129.5,100-200,-14.2%,643.6052058,681.2823722,44.98,42.12,25-50,-6.4%,835.5744784,990.8870949,240.2,283.28,200-500,18.0%,9.23,8.86,10.2%,9.6%,менше 10,-5.7%
Львівська область,Яворівський район,Яворівська,міська територіальна громада,UA46140110000063568,,52.547,52.232,834.7,284121.5017,294169.5758,3.5%,51816.48499,83819.77213,50-100,61.8%,12.71314683,14.7953995,19.48,14.73,10-20,-24.4%,1.164459233,5292.5,0,3634.046238,0.977848215,0,0,434.8180486,522.2729378,92.8,76.1,50-100,-18.0%,212.6092873,230.3356482,13.81,16.02,менше 25,16.0%,441.1027593,551.6498962,129.6,173.58,100-200,34.0%,12.61,11.22,12.5%,9.6%,менше 10,-22.8%
Вінницька область,Гайсинський район,Гайсинська,міська територіальна громада,UA05040030000050131,,44.54,44.192,660.4,238323.2703,278035.5646,16.7%,56111.91669,91474.11402,50-100,63.0%,28.64333655,26.72454209,32.15,22.43,20-40,-30.2%,1.015504728,0,0,3169.18878,0.844469931,0,6692.6,423.9940006,441.9648426,95.6,74.1,50-100,-22.6%,751.1602866,832.4792982,53.04,49.84,25-50,-6.0%,702.6572295,736.2174412,187.9,236.95,200-500,26.1%,13.46,10.40,12.2%,9.7%,менше 10,-20.8%
Миколаївська область,Вознесенський район,Южноукраїнська,міська територіальна громада,UA48040250000044166,,42.499,42.117,158.7,485249.3287,591878.0379,22.0%,158025.5918,177752.9045,більше 100,12.5%,13.19926827,12.07170905,10.79,9.96,менше 10,-7.7%,2.450903151,90277.2,0,7648.782474,2.806463237,122822.2,0,303.1712294,365.6151852,83.8,67.0,50-100,-20.1%,929.0644287,1005.315834,206.55,180.95,100-200,-12.4%,528.6188909,637.8065045,145.5,188.58,100-200,29.6%,13.52,11.54,10.3%,9.8%,менше 10,-4.3%
Харківська область,Харківський район,Циркунівська,сільська територіальна громада,UA63120290000021734,,8.9,8.816,132.4,65257.84,42363.20777,-35.1%,8435.31587,7278.7122,5-20,-13.7%,23.19911546,42.80859646,41.36,46.43,більше 40,12.3%,0.533527145,0,8282.1,1665.032369,0.454631224,0,10835.4,276.0409456,325.9561811,74.2,22.1,менше 25,-70.2%,444.4632601,503.7636605,39.24,18.60,менше 25,-52.6%,1140.696922,1346.626933,291.4,311.71,200-500,7.0%,28.08,34.21,31.0%,9.9%,менше 10,-68.2%
Київська область,Бучанський район,Гостомельська,селищна територіальна громада,UA32080110000056605,,27.371,28.649,66.5,245819.6993,306600.942,24.7%,62588.64693,83872.56576,50-100,34.0%,20.7477009,22.67428143,24.15,20.19,20-40,-16.4%,2.075192439,41805.4,0,6476.263885,1.952338978,42530.8,0,427.177582,727.3017687,130.4,144.2,100-200,10.6%,650.5615593,859.9800782,85.84,72.94,50-100,-15.0%,1040.874145,1259.900661,280.2,423.02,200-500,51.0%,11.01,14.72,13.4%,9.9%,менше 10,-25.9%
Чернігівська область,Прилуцький район,Прилуцька,міська територіальна громада,UA74080130000060606,,53.395,52.553,42.3,434250.7978,396411.9784,-8.7%,89394.40632,113735.7738,більше 100,27.2%,17.97240383,23.75725946,24.66,20.68,20-40,-16.1%,1.296708657,16546.4,0,4046.770451,1.249128119,13419.9,0,335.4687298,372.7093664,87.9,72.0,50-100,-18.1%,600.4844425,753.9166096,95.32,67.89,50-100,-28.8%,782.9514839,939.2745543,229.2,303.09,200-500,32.2%,12.39,11.24,12.3%,9.9%,менше 10,-18.8%
Одеська область,Ізмаїльський район,Ізмаїльська,міська територіальна громада,UA51080030000048246,,71.299,70.731,50.4,626698.1837,487998.6472,-22.1%,110498.0864,117035.2678,більше 100,5.9%,31.10984917,37.92222907,38.3,30.94,20-40,-19.2%,0.974542359,0,0,3041.353355,0.954277941,0,0,565.0462404,600.115409,132.0,94.8,50-100,-28.2%,1691.711109,1344.763432,189.09,118.56,100-200,-37.3%,627.3839603,764.911741,192.9,214.98,200-500,11.4%,11.57,8.65,9.0%,10.1%,10-20,
Закарпатська область,Ужгородський район,Ужгородська,міська територіальна громада,UA21100230000083101,,115.512,115.542,37.7,1220346.718,1260007.21,3.2%,267495.8455,335876.9262,більше 100,25.6%,19.80772729,22.71822651,24.95,22.75,20-40,-8.8%,1.705712661,110753.2,0,5323.190803,1.775774195,134052,0,603.5749558,659.527175,142.2,116.9,100-200,-17.8%,531.1908261,571.4657639,91.86,67.63,50-100,-26.4%,1316.189705,1593.737279,390.6,487.50,200-500,24.8%,13.65,12.04,12.6%,10.5%,10-20,-16.6%
Хмельницька область,Кам'янець-Подільський район,Кам’янець-Подільська,міська територіальна громада,UA68020110000071202,,110.231,109.064,175.3,696108.3078,566640.3787,-18.6%,122720.7503,147077.5142,більше 100,19.8%,19.51119015,29.6455266,28.41,27.66,20-40,-2.6%,0.765099495,0,37389.3,2387.723729,0.736773581,0,48471.6,423.6272332,482.4648636,98.5,85.4,50-100,-13.3%,518.4923301,600.4763868,42.91,32.05,25-50,-25.3%,557.0258968,719.5560741,160.5,232.24,200-500,44.7%,11.70,11.47,14.1%,10.6%,10-20,-25.3%
Дніпропетровська область,Павлоградський район,Павлоградська,міська територіальна громада,UA12120070000057518,,104.225,103.073,58.8,768756.1922,615790.6871,-19.9%,136222.6697,167524.5333,більше 100,23.0%,19.14887025,26.94395684,28.17,26.47,20-40,-6.0%,0.974835586,0,0,3042.268456,0.868690268,0,9088.2,366.0716624,441.2213519,96.7,91.5,50-100,-5.5%,619.0882051,639.2436959,70.10,76.24,50-100,8.8%,619.9385464,766.7421378,182.0,215.63,200-500,18.5%,8.90,10.13,11.8%,10.6%,10-20,-10.5%
Одеська область,Одеський район,Южненська,міська територіальна громада,UA51100410000059549,,35.273,35.318,107.5,505411.3934,547580.8882,8.3%,132357.7733,134071.4674,більше 100,1.3%,31.01792726,32.16758717,32.59,26.42,20-40,-18.9%,2.291348122,67040.4,0,7150.842886,2.630037194,93818.2,0,363.2329107,454.0683411,92.0,97.1,50-100,5.6%,3461.719289,3833.491557,686.14,519.85,більше 200,-24.2%,738.2059859,843.2860084,204.0,268.60,200-500,31.6%,12.42,9.61,9.3%,10.7%,10-20,14.5%
Київська область,Вишгородський район,Вишгородська,міська територіальна громада,UA32100010000094393,,31.877,33.276,93.7,451800.863,525011.6868,16.2%,113152.6785,143727.6984,більше 100,27.0%,31.52810711,29.15464874,33.79,29.35,20-40,-13.1%,2.025357003,51646.4,0,6320.737374,2.066356612,57281.5,0,982.4036063,1305.217392,261.7,208.5,більше 200,-20.3%,1837.714432,1469.576894,291.86,272.68,більше 200,-6.6%,2005.086124,2721.363243,676.7,886.22,більше 500,31.0%,6.93,9.95,9.1%,10.7%,10-20,17.6%
Закарпатська область,Мукачівський район,Мукачівська,міська територіальна громада,UA21040150000092428,,110.511,110.483,266.9,914689.9988,838903.3288,-8.3%,181898.1407,218461.6421,більше 100,20.1%,16.60669454,21.21415455,23.69,21.31,20-40,-10.0%,1.264207347,28521.6,0,3945.34031,1.198604069,18590.3,0,709.2813577,648.1638163,122.2,98.6,50-100,-19.3%,469.8557074,491.3956172,91.00,90.67,50-100,-0.4%,820.3499245,1001.115913,244.3,286.87,200-500,17.4%,12.35,10.83,11.4%,10.7%,10-20,-5.9%
Київська область,Фастівський район,Глевахівська,селищна територіальна громада,UA32140070000012102,,12.879,12.776,96.6,128052.262,173721.53,35.7%,37305.61642,40413.7425,20-50,8.3%,30.60725518,29.87256135,30.11,33.38,20-40,10.9%,1.41135945,6390.8,0,4404.57283,1.367882595,5998.2,0,2197.759495,2746.04232,554.5,394.9,більше 200,-28.8%,673.3955086,975.8413133,162.29,168.84,100-200,4.0%,1990.353765,2566.333419,581.4,753.54,більше 500,29.6%,12.29,11.91,11.8%,10.7%,10-20,-9.4%
Чернігівська область,Чернігівський район,Гончарівська,селищна територіальна громада,UA74100030000076377,,6.282,6.19,634.7,64461.57292,92644.77281,43.7%,19307.38962,19635.80552,5-20,1.7%,9.332062883,7.135503148,6.47,5.40,менше 10,-16.5%,2.051962061,9353.8,0,6403.766484,2.238355379,11977.2,0,78.85199778,99.64017086,26.0,11.6,менше 25,-55.5%,471.4563078,421.3250806,36.98,23.05,менше 25,-37.7%,473.0569525,621.124452,101.2,104.35,100-200,3.1%,18.64,11.87,13.7%,10.8%,10-20,-21.2%
Львівська область,Золочівський район,Золочівська,міська територіальна громада,UA46040070000032075,,49.666,49.243,630.7,225246.5326,243840.3512,8.3%,53167.00108,70148.01241,50-100,31.9%,25.01605031,25.2559902,28.47,21.67,20-40,-23.9%,0.8099329,0,11180.5,2527.639891,0.818514072,0,10902,241.8393634,288.2420572,58.7,45.5,25-50,-22.5%,433.2945542,417.5111802,54.35,29.78,25-50,-45.2%,655.6908695,774.7499592,188.2,224.87,200-500,19.5%,17.25,11.81,9.8%,10.8%,10-20,9.6%
Львівська область,Червоноградський район,Сокальська,міська територіальна громада,UA46120110000062257,,52.574,52.081,676.5,230795.2808,232706.6958,0.8%,49502.54693,57005.08361,50-100,15.2%,19.94583335,23.44870827,24.58,26.44,20-40,7.6%,0.692812514,0,27224.1,2162.130401,0.714510574,0,26241.6,135.5797646,165.7518542,35.0,31.3,25-50,-10.6%,301.8834309,310.6935434,19.37,20.07,менше 25,3.6%,503.9006671,643.3193678,141.5,187.20,100-200,32.3%,14.08,9.03,11.3%,10.8%,10-20,-4.4%
Київська область,Білоцерківський район,Ковалівська,сільська територіальна громада,UA32020070000027895,,6.617,6.566,231.6,81887.18106,70621.14644,-13.8%,12397.46028,19877.65285,5-20,60.3%,15.07108795,19.70461894,26.14,11.28,10-20,-56.8%,2.238125377,11886.3,0,6984.745256,1.840855642,8338.9,0,84.44854176,115.066958,21.7,25.9,25-50,19.4%,435.8067324,466.6292075,24.31,17.24,менше 25,-29.1%,1216.824282,1344.82099,337.0,238.93,200-500,-29.1%,22.84,12.40,16.1%,10.9%,10-20,-32.5%
Луганська область,Сєвєродонецький район,Сєвєродонецька,міська територіальна громада,UA44120110000010163,,117.099,115.641,712.8,1103575.358,1088246.347,-1.4%,252863.0364,280114.3993,більше 100,10.8%,16.2,22.83307954,21.13,15.65,10-20,-25.9%,1.148969225,21343.3,0,3585.704997,1.177362935,21980.8,0,305.4855666,339.8428807,109.9,67.0,50-100,-39.0%,474.1345675,724.6917856,130.40,47.40,25-50,-63.6%,520.5479779,607.8236332,229.0,255.57,200-500,11.6%,11.11,11.14,10.4%,10.9%,10-20,4.8%
Херсонська область,Херсонський район,Херсонська,міська територіальна громада,UA65100150000057191,,326.054,322.557,452.6,2339308.206,2163851.171,-7.5%,486742.5131,525234.1415,більше 100,7.9%,18.24445279,22.72487093,24.11,23.23,20-40,-3.7%,1.045316811,0,0,3262.226377,1.075767546,0,0,469.3216545,520.3866249,110.8,86.0,50-100,-22.4%,326.4542852,316.4216776,24.00,23.38,менше 25,-2.6%,869.7742225,1058.311865,262.2,290.80,200-500,10.9%,11.64,11.31,11.3%,11.0%,10-20,-3.0%
Харківська область,Красноградський район,Красноградська,міська територіальна громада,UA63060050000033240,,31.683,31.262,483.4,178114.2784,256722.5163,44.1%,46194.58371,56245.05164,50-100,21.8%,25.69938501,20.01378665,23.17,16.35,10-20,-29.4%,0.994580981,0,0,3103.889917,0.995890068,0,0,267.2058294,375.0775783,71.0,69.9,50-100,-1.5%,630.7016206,686.4118881,70.47,56.26,50-100,-20.2%,676.3719602,770.489831,158.2,161.94,100-200,2.4%,11.70,10.29,12.3%,11.0%,10-20,-10.6%
Рівненська область,Рівненський район,Здолбунівська,міська територіальна громада,UA56060250000052338,,31.764,31.528,152.2,205881.9704,208680.4529,1.4%,46496.33105,51346.04705,50-100,10.4%,22.51191406,26.42340697,28.33,27.25,20-40,-3.8%,1.088386531,0,0,3396.638426,1.053317953,0,0,366.1896404,430.6535595,92.9,71.5,50-100,-23.0%,764.356142,924.7628163,137.88,141.15,100-200,2.4%,598.0059199,692.6709721,179.0,194.49,100-200,8.6%,8.05,9.54,9.5%,11.1%,10-20,16.3%
Полтавська область,Кременчуцький район,Горішньоплавнівська,міська територіальна громада,UA53020030000081709,,55.807,55.366,368.7,696336.4782,745552.3585,7.1%,169236.4693,213447.0807,більше 100,26.1%,18.53629538,23.36765326,24.06,21.91,20-40,-9.0%,2.210005711,98342.6,0,6896.989359,2.137398628,99117.8,0,384.3559123,493.95971,104.0,87.8,50-100,-15.6%,1540.304163,2211.085411,299.89,291.06,більше 200,-2.9%,610.6974427,723.4874119,172.1,222.19,200-500,29.1%,13.55,10.62,11.2%,11.1%,10-20,-1.1%
